id,dapp_name,dapp_slug,dapp_category,date,round_name,round,amount,chains,sector,category,category_group,source,lead_investors,other_investors,valuation,defillama_id,created_at
170,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund, Gate Ventures",2250.0,189,2025-09-05 19:28:59.083519
102,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund",2250.0,189,2025-08-18 15:41:34.486663
436,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund, Gate Ventures",2250.0,189,2025-09-22 10:10:27.870083
320,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund, Gate Ventures",2250.0,189,2025-09-10 13:21:23.545758
245,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund, Gate Ventures",2250.0,189,2025-09-10 11:32:57.718775
513,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund, Gate Ventures",2250.0,189,2025-11-24 20:09:23.964054
37,1inch Network,1inch-network,defi,2021-12-01,1Inch,Series B,175.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,Amber Group,"Jane Street, VanEck, Fenbushi Capital, Alameda Research, Celsius Network, Nexo, Tribe Capital, Gemini Frontier Fund",2250.0,189,2025-07-28 16:29:08.450560
244,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-09-10 11:32:57.718775
435,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-09-22 10:10:27.870083
169,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-09-05 19:28:59.083519
101,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-08-18 15:41:34.486663
512,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-11-24 20:09:23.964054
36,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-07-28 16:29:08.450560
319,1inch Network,1inch-network,defi,2020-12-02,1Inch,Series A,12.0,,DEX Aggregator,DeFi,DeFi & CeFi,https://blog.1inch.io/1inch-successfully-closes-12-mln-funding-round-led-by-pantera-capital-4c8a5a421ea8,"Pantera Capital, ParaFi Capital, Nima Capital",,,189,2025-09-10 13:21:23.545758
38,1inch Network,1inch-network,defi,2020-08-11,1inch,Seed,2.8,"Ethereum, BSC",1inch Limited builds decentralized protocols and contributes to the development of the 1inch Network.,DeFi,DeFi & CeFi,,,"Binance Labs, Divergence Ventures, Dragonfly Capital, FTX Ventures, Galaxy Digital, Illia Polosukhin, IOSG Ventures, LAUNCHub Ventures, Libertus Capital, Loi Luu, Greenfield Capital",,189,2025-07-28 16:29:08.450560
321,1inch Network,1inch-network,defi,2020-08-11,1inch,Seed,2.8,"Ethereum, BSC",1inch Limited builds decentralized protocols and contributes to the development of the 1inch Network.,DeFi,DeFi & CeFi,,,"Binance Labs, Divergence Ventures, Dragonfly Capital, FTX Ventures, Galaxy Digital, Illia Polosukhin, IOSG Ventures, LAUNCHub Ventures, Libertus Capital, Loi Luu, Greenfield Capital",,189,2025-09-10 13:21:23.545758
