id,name,slug,category,industry,status,chains,multi_chain,ownership_status,decentralisation_lvl,birth_date,capital_raised,showcase_fun,token_name,token_symbol,token_format,governance_type,website,twitter,discord,description,created_at,updated_at,tvl,users,volume,transactions,balance,fees,completeness_score
1180,0xAstra,0xastra,other,other,active,mantle,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:41.303159,0.0,261.0,0.0,261.0,0.0,,7
993,12HourTrains,12hourtrains,high-risk,high-risk,active,ethereum,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:40.868571,0.0,0.0,0.0,0.0,0.96,,7
629,1inch Network,1inch-network,defi,defi,active,"kaia,bnb-chain,ethereum,aurora,fantom,zksync-era,arbitrum,optimism,polygon,base,avalanche",True,,,,0,False,,,,,,,,,2025-07-04 12:23:51.564722,2025-07-04 13:46:40.228059,0.0,21568.0,173028317.86,36798.0,27722.4,,7
792,2p2e,2p2e,gambling,gambling,active,soneium,False,,,,0,False,,,,,,,,,2025-07-04 12:23:51.564722,2025-07-04 13:46:40.228059,0.0,4.0,534.14,51.0,6385.1,,7
1209,4EVERLAND,4everland,other,other,active,"arbitrum,blast,bnb-chain,ethereum,linea,opbnb,optimism,polygon,zksync-era",True,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:41.349300,0.0,16.0,15.36,60.0,1554.0,,7
998,50 Percent Daily,50-percent-daily,high-risk,high-risk,active,ethereum,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:40.876188,0.0,0.0,0.0,0.0,24.62,,7
1019,9wins,9wins,gambling,gambling,active,playblock,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:41.004337,0.0,1.0,0.0,682.0,0.0,,7
4,Aave V3,aave-v3,defi,defi,active,"arbitrum,avalanche,base,bnb-chain,celo,ethereum,fantom,linea,optimism,polygon,soneium,zksync-era",True,,,,0,False,,,,,,,,,2025-05-29 17:56:43.525906,2025-07-04 13:46:40.228059,0.0,4051.0,1991193.29,8575.0,20560779.42,,7
1214,Abstract Global Wallet,abstract-global-wallet,other,other,active,abstract,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:41.357193,0.0,14.0,0.0,9540.0,0.01,,7
1106,Access Protocol,access-protocol,social,social,active,solana,False,,,,0,False,,,,,,,,,2025-07-04 13:46:40.228059,2025-07-04 13:46:41.180558,0.0,112.0,8.99,306.0,675.8,,7
